Decimal,Octal,Label Name,Direction,Description,Period (ms),Notes
0,000,Reserved,N/A,-,-,
…,…,-,-,-,-,
191,277,Reserved,N/A,-,-,
192,300,LCD Backlight,PC → Device,PC commands state of the LCD screen backlight,1000,
192,300,LCD Backlight,Device → PC,Device reports back LCD state,500,
193,301,LCD Content Update,PC → Device,PC updates a cell in the LCD grid,On Command,
193,301,LCD Content Row 0 Feedback,Device → PC,Device reports Row 0 characters,500,
194,302,LCD Content Row 1 Feedback,Device → PC,Device reports Row 1 characters,500,
195,303,LCD Content Row 2 Feedback,Device → PC,Device reports Row 2 characters,500,
196,304,LCD Content Row 3 Feedback,Device → PC,Device reports Row 3 characters,500,
197,305,On Board LED,PC → Device,PC commands state of on board LED,300,
197,305,On Board LED,Device → PC,Device reports back LED state,300,
198,306,IO Port Direction,PC → Device,PC sets the IO port direction,On Command,
198,306,IO Port Direction,Device → PC,Device reports the current IO port directions,500,
199,307,IO Port State,PC → Device,PC Sets IO port state (or internal pull-up if available),500,
199,307,IO Port State,Device → PC,Device reports the current IO port state,500,
200,310,ADC Channel Enable,PC → Device,PC activates ADC conversions on a particular channel,500,
200,310,ADC Channel Enable,Device → PC,Device reports active ADC channels,500,
201,311,ADC resolution in number of bits,Device → PC,Device reports the number of bits in each conversion,1000,
202,312,ADC Reference in mV,Device → PC,Device reports the reference voltage of the ADC channels in millivolts,1000,
203,313,ADC Channel Available,Device → PC,Device reports available ADC channels,1000,
204,314,ADC Data Instantaneous,Device → PC,Device reports the ADC’s channel instantaneous data,500,See ICD for format
205,315,ADC Averaging Samples,PC → Device,PC sets the samples per value ADC data averaging,1000,
205,315,ADC Averaging Samples,Device → PC,Device reports the current samples per average value,1000,
206,316,ADC Data Averaged,Device → PC,Device reports the ADC’s channel averaged data,500,See ICD for format
207,317,Wrapback Test Command,PC → Device,PC sends a wrapback test command,300,
207,317,Wrapback Test Command,Device → PC,Device sends wrapback test command,300,
208,320,Wrapback Test Response,PC → Device,PC responds to the received wrapback test command,On Demand,Sent in response to Label 0320
208,320,Wrapback Test Response,Device → PC,Device responds to the received wrapback test command,On Demand,Sent in response to Label 0320
209,321,Fault Flags,Device → PC,Device reports flags,300,
210,322,Fault Troubleshooting Data,Device → PC,Device reports troubleshooting data for a fault ID,1000,
211,323,Reset Device,PC → Device,PC commands device to reset,On Command,
212,324,Reserved,N/A,-,-,
…,…,-,-,-,-,
255,377,Reserved,N/A,-,-,
